,id,name,crossed,geometry,geometry_updated
18,08f283411005e716037351a88bad8647,r.blitzer gallery,['service'],POINT (-122.0556559000000050 36.9596445000000031),POINT (-122.0555848000000196 36.9595841000000007)
19,08f283411005e828030f4d80fae64c81,University Business Park,['footway'],POINT (-122.0558122000000054 36.9597443999999982),POINT (-122.0557796220656286 36.9595442630181523)
20,08f283411005e8280316f3cf8b597782,Santa Cruz Plumbing,[],POINT (-122.0558199999999971 36.9592689999999990),POINT (-122.0558199999999971 36.9592689999999919)
21,08f283411005e82803b6ace166139d43,Idea Fab Labs Santa Cruz,[],POINT (-122.0557919999999967 36.9596623999999991),POINT (-122.0557728838838898 36.9595449633395461)
22,08f283411005e82803c54ae180c37cce,FITAID,[],POINT (-122.0547179999999940 36.9594220000000035),POINT (-122.0547179999999940 36.9594220000000035)
23,08f283411005e90003d77e4f3ad01af2,Divinitree Yoga & Art Studio,[],POINT (-122.0557890000000043 36.9592090000000013),POINT (-122.0557890000000043 36.9592089999999942)
24,08f283411005e90003f9c5ed49fdc894,Wrigley Building,[],POINT (-122.0557890000000043 36.9592090000000013),POINT (-122.0557890000000043 36.9592089999999942)
25,08f283411005e9100322b8ec26cfc365,Steel and Grace,[],POINT (-122.0557622999999978 36.9595192000000026),POINT (-122.0557622999999978 36.9595192000000097)
26,08f283411006004c037c6fd772fa9c76,Immergo Labs,[],POINT (-122.0571968999999939 36.9573113000000006),POINT (-122.0571932051249178 36.9573116579934648)
27,08f2834110060505036b9528db4b39ec,Startup Sandbox,[],POINT (-122.0571958000000024 36.9573256999999984),POINT (-122.0571953425392167 36.9573257443229934)
28,08f283411006310403655b2070655713,Alexis Party Rental,[],POINT (-122.0571451999999937 36.9576463000000004),POINT (-122.0571451999999937 36.9576463000000004)
29,08f28341100809b4035ec45c625b0d84,Kochlacs Wood,[],POINT (-122.0516264000000035 36.9598081999999977),POINT (-122.0516169298811775 36.9597468936777318)
30,08f28341100809b4036b02c34ba0280e,Cal Sup Surf Outlet,[],POINT (-122.0496899999999982 36.9587300000000027),POINT (-122.0496899999999840 36.9587299999999956)
31,08f28341100809b403e6b6081135677b,Santa Cruz Mountains Trail Stewardship,[],POINT (-122.0496806999999961 36.9590919999999983),POINT (-122.0496737953258588 36.9590482334604928)
32,08f283411008325e032b68a70beb7322,Westside Farm and Feed,[],POINT (-122.0495836999999995 36.9596118999999987),POINT (-122.0495836999999852 36.9596118999999987)
33,08f2834110084020033700f6be227c48,Gazelle Bikes Experience Center,[],POINT (-122.0497033999999985 36.9584648000000016),POINT (-122.0497033999999985 36.9584647999999945)
34,08f283411008613403d1f9b292fcd45c,Hotline Wetsuits,[],POINT (-122.0488292999999942 36.9570456000000007),POINT (-122.0488918611661546 36.9570386764731538)
35,08f28341100864a203a56cd5a9f2b8ec,El Salchichero,[],POINT (-122.0489065000000011 36.9587933000000035),POINT (-122.0489079110606525 36.9587987955629060)
36,08f28341100869290396c70d38f222b9,Cat & Cloud Coffee,[],POINT (-122.0493198000000064 36.9585112999999978),POINT (-122.0493198000000064 36.9585112999999978)
37,08f283411008813503b14ba8171a41d3,Westside Woodworks,['service'],POINT (-122.0506998999999979 36.9599341999999993),POINT (-122.0504442405073462 36.9599590420368074)
